Datum,Kategorie,Wert
17.09.2018 19:00,Ozon,50.43
17.09.2018 20:00,Ozon,34.06
17.09.2018 21:00,Ozon,31.76
17.09.2018 22:00,Ozon,26.37
17.09.2018 23:00,Ozon,19.43
18.09.2018 00:00,Ozon,10.15
18.09.2018 01:00,Ozon,16.06
18.09.2018 02:00,Ozon,16.08
18.09.2018 03:00,Ozon,12.8
18.09.2018 04:00,Ozon,7.71
18.09.2018 05:00,Ozon,3.24
18.09.2018 06:00,Ozon,3.8
18.09.2018 07:00,Ozon,6.2
18.09.2018 08:00,Ozon,11.38
18.09.2018 09:00,Ozon,19.58
18.09.2018 10:00,Ozon,27.86
18.09.2018 11:00,Ozon,47.35
18.09.2018 12:00,Ozon,47.98
18.09.2018 13:00,Ozon,63.98
18.09.2018 14:00,Ozon,72.51
18.09.2018 15:00,Ozon,72.41
18.09.2018 16:00,Ozon,71.64
18.09.2018 17:00,Ozon,74.96
18.09.2018 18:00,Ozon,59.65
18.09.2018 19:00,Ozon,46.28
18.09.2018 20:00,Ozon,46.95
18.09.2018 21:00,Ozon,76.28
18.09.2018 22:00,Ozon,70.32
18.09.2018 23:00,Ozon,65.49
19.09.2018 00:00,Ozon,51.21
19.09.2018 01:00,Ozon,45.03
19.09.2018 02:00,Ozon,38.02
19.09.2018 03:00,Ozon,31.13
19.09.2018 04:00,Ozon,17.5
19.09.2018 05:00,Ozon,5.13
19.09.2018 06:00,Ozon,3.06
19.09.2018 07:00,Ozon,4.33
19.09.2018 08:00,Ozon,12.55
19.09.2018 09:00,Ozon,31.47
19.09.2018 10:00,Ozon,43.73
19.09.2018 11:00,Ozon,63.64
19.09.2018 12:00,Ozon,73.68
19.09.2018 13:00,Ozon,88.86
19.09.2018 14:00,Ozon,95.84
19.09.2018 15:00,Ozon,92.75
19.09.2018 16:00,Ozon,82.85
19.09.2018 17:00,Ozon,75.86
19.09.2018 18:00,Ozon,57.98
19.09.2018 19:00,Ozon,49.82
19.09.2018 20:00,Ozon,39.39
19.09.2018 21:00,Ozon,59.54
19.09.2018 22:00,Ozon,61.67
19.09.2018 23:00,Ozon,58.21
20.09.2018 00:00,Ozon,41.79
20.09.2018 01:00,Ozon,27.7
20.09.2018 02:00,Ozon,23.47
20.09.2018 03:00,Ozon,35.92
20.09.2018 04:00,Ozon,24.82
20.09.2018 05:00,Ozon,6.6
20.09.2018 06:00,Ozon,3.91
20.09.2018 07:00,Ozon,6.57
20.09.2018 08:00,Ozon,17.99
20.09.2018 09:00,Ozon,37.67
20.09.2018 10:00,Ozon,53.39
20.09.2018 11:00,Ozon,72.84
20.09.2018 12:00,Ozon,89.76
20.09.2018 13:00,Ozon,95.88
20.09.2018 14:00,Ozon,105.58
20.09.2018 15:00,Ozon,101.53
20.09.2018 16:00,Ozon,93.23
20.09.2018 17:00,Ozon,94.29
