Datum,Ozon,Stickstoffdioxid,Feinstaub PM10,Lufttemperatur,Luftdruck,Windrichtung,Windgeschwindigkeit
17.09.2018 19:00,50.43,50.02,14.59,21.94,967.76,183.27,0.33
17.09.2018 20:00,34.06,58.94,19.07,20.81,967.96,48.12,0.53
17.09.2018 21:00,31.76,58.11,19.32,20.03,967.97,176.2,0.64
17.09.2018 22:00,26.37,56.06,18.71,19.53,967.83,172.24,0.68
17.09.2018 23:00,19.43,55.13,19.08,19.04,967.63,285.05,0.16
18.09.2018 00:00,10.15,58.16,19.58,18.42,967.6,267.72,0.24
18.09.2018 01:00,16.06,44.96,20.99,17.75,967.68,21.63,0.32
18.09.2018 02:00,16.08,36.74,21.07,17.27,967.6,25.5,0.36
18.09.2018 03:00,12.8,36.7,18.84,16.87,967.69,265.48,0.03
18.09.2018 04:00,7.71,41.92,21.57,16.61,968.04,16.06,0.34
18.09.2018 05:00,3.24,45.23,20.61,16.36,968.2,236.55,0.09
18.09.2018 06:00,3.8,55.98,23.43,16.6,968.48,260.02,0.09
18.09.2018 07:00,6.2,64.4,35.07,17.38,968.75,216.15,0.33
18.09.2018 08:00,11.38,60.21,40.85,18.85,968.98,219.94,0.72
18.09.2018 09:00,19.58,51.51,27.98,19.93,969.24,210.5,1.09
18.09.2018 10:00,27.86,54.72,27.44,21.5,969.37,193.06,0.91
18.09.2018 11:00,47.35,33.07,21.59,21.44,969.38,177.88,2.28
18.09.2018 12:00,47.98,37.79,23.43,21.79,969.09,180.62,1.94
18.09.2018 13:00,63.98,33.94,20.97,23.49,968.42,194.29,1.14
18.09.2018 14:00,72.51,41.89,20.16,24.58,967.62,187.24,1.79
18.09.2018 15:00,72.41,39.22,17.91,25.34,967.17,184.05,1.58
18.09.2018 16:00,71.64,40.01,13.71,25.5,966.88,203.01,1.33
18.09.2018 17:00,74.96,33.96,12.05,25.13,966.84,160.17,1.58
18.09.2018 18:00,59.65,41.49,12.35,23.8,967.18,137.04,1.35
18.09.2018 19:00,46.28,44.37,18.62,21.95,967.74,102.55,0.18
18.09.2018 20:00,46.95,43.45,19.39,21.35,969.12,330.83,1.99
18.09.2018 21:00,76.28,32.78,11.88,20.05,969.41,23.45,2.34
18.09.2018 22:00,70.32,24.13,10.37,19.74,969.45,153.71,1.54
18.09.2018 23:00,65.49,19.72,10.23,19.2,969.91,169.54,1.22
19.09.2018 00:00,51.21,22.31,10.62,17.94,969.99,71.58,0.05
19.09.2018 01:00,45.03,21.73,9.2,17.09,970.01,13.05,0.47
19.09.2018 02:00,38.02,26.18,10.52,16.66,970.02,24.97,1.27
19.09.2018 03:00,31.13,22.98,9.93,16.28,970.22,38.02,0.05
19.09.2018 04:00,17.5,31.61,9.84,15.87,970.24,279.28,0.17
19.09.2018 05:00,5.13,46.08,11.25,15.65,970.36,24.89,0.63
19.09.2018 06:00,3.06,64.14,15.47,15.62,970.82,35.09,0.31
19.09.2018 07:00,4.33,68.13,22.42,16.35,971.34,29.22,0.21
19.09.2018 08:00,12.55,58.17,32.78,18.34,971.71,199.85,0.41
19.09.2018 09:00,31.47,46.28,29.78,19.82,972,194,0.86
